date,latitude,longitude,temp,tempmax,tempmin,humidity,conditions
2025-08-21,40.8852,-73.8795,64.8,71.6,59.5,74.4,"Rain, Partially cloudy"
2025-08-21,40.63,-74.026,64.7,72.7,59.7,75.1,"Rain, Partially cloudy"
2025-08-21,40.7178,-73.9874,64.4,71.4,59.4,75.2,"Rain, Partially cloudy"
2025-08-21,40.711,-73.8238,65.2,72.4,60.4,75.3,"Rain, Partially cloudy"
2025-08-21,37.105,-113.586,94.5,106.1,80.9,18.6,Clear
2021-08-02,37.105,-113.586,87.2,101.9,71.9,39.0,Clear
2025-08-21,40.7454,-73.9426,64.5,71.2,59.4,74.7,"Rain, Partially cloudy"
2025-08-21,40.706,-73.796,65.3,72.9,60.6,76.2,"Rain, Partially cloudy"
2025-08-22,40.8852,-73.8795,72.2,83.0,60.4,44.4,Clear
2025-08-22,40.63,-74.026,72.6,83.1,61.3,44.3,Clear
2025-08-22,40.7178,-73.9874,72.1,82.3,60.4,44.0,Clear
2025-08-22,40.711,-73.8238,72.2,81.7,62.0,43.7,Clear
2025-08-22,40.706,-73.796,71.9,81.8,62.0,45.0,Clear
2025-08-22,37.105,-113.586,93.2,104.1,83.9,22.2,Clear
2025-08-22,40.7454,-73.9426,72.2,82.2,60.5,43.5,Clear
2021-08-06,40.718,-73.9936,78.8,87.9,70.1,60.3,Clear
2025-08-23,40.8852,-73.8795,73.7,81.7,67.6,48.8,Clear
2025-08-23,40.63,-74.026,73.6,82.1,65.4,51.0,Clear
2025-08-23,40.7178,-73.9874,73.4,81.2,68.0,49.7,Clear
2025-08-23,40.711,-73.8238,73.0,79.5,67.5,53.3,Partially cloudy
2025-08-23,40.7454,-73.9426,73.6,81.1,68.3,48.8,Clear
2022-06-22,40.7346,-73.9442,65.2,66.8,63.0,82.1,"Rain, Overcast"
2025-08-23,40.706,-73.796,72.5,78.9,66.6,56.4,Partially cloudy
2025-08-24,40.8852,-73.8795,73.4,79.9,67.8,66.8,Partially cloudy
2025-08-24,40.63,-74.026,73.5,80.0,67.6,68.3,Partially cloudy
2025-08-24,40.7178,-73.9874,73.1,79.3,68.3,67.9,Partially cloudy
2025-08-24,40.711,-73.8238,73.4,79.5,68.5,70.4,Partially cloudy
2025-08-24,37.105,-113.586,88.9,97.1,83.0,33.4,Clear
2022-07-21,40.7346,-73.9442,85.1,92.7,76.0,60.9,"Rain, Partially cloudy"
2025-08-24,40.7454,-73.9426,73.2,79.2,68.4,67.2,Partially cloudy
2025-08-25,40.7454,-73.9426,76.7,84.9,70.8,54.5,Partially cloudy
2022-07-31,40.7346,-73.9442,78.2,85.9,71.2,53.3,Partially cloudy
